TIG_PostNL::URL of a page where customers can find information regarding the webshop's customer service department. Leave empty to disable this feature.,URL of a page where customers can find information regarding the webshop's customer service department. Leave empty to disable this feature.
TIG_PostNL::PostNL Checkout Payment Settings,PostNL Checkout Payment Settings
TIG_PostNL::PostNL Checkout is disabled. please enable PostNL Checkout in order to configure these settings.,PostNL Checkout is disabled. please enable PostNL Checkout in order to configure these settings.
TIG_PostNL::Use iDEAL,Use iDEAL
TIG_PostNL::iDEAL payment method,iDEAL payment method
TIG_PostNL::iDeal Bank Field,iDeal Bank Field
TIG_PostNL::Enter the field name used by the selected payment method for the 'bank' field.,Enter the field name used by the selected payment method for the 'bank' field.
TIG_PostNL::Use creditcard,Use creditcard
TIG_PostNL::Creditcard payment method,Creditcard payment method
TIG_PostNL::Creditcard card type field,Creditcard card type field
TIG_PostNL::Enter the field name used by the selected payment method for the 'creditcard type' field.,Enter the field name used by the selected payment method for the 'creditcard type' field.
TIG_PostNL::Use CheckPay,Use CheckPay
TIG_PostNL::CheckPay payment method,CheckPay payment method
TIG_PostNL::Use PayPal,Use PayPal
TIG_PostNL::PayPal payment method,PayPal payment method
TIG_PostNL::Use direct debit,Use direct debit
TIG_PostNL::Direct debit payment method,Direct debit payment method
TIG_PostNL::Use acceptgiro,Use acceptgiro
TIG_PostNL::Acceptgiro payment method,Acceptgiro payment method
TIG_PostNL::Use vooraf betalen,Use vooraf betalen
TIG_PostNL::Vooraf betalen payment method,Vooraf betalen payment method
TIG_PostNL::Use betaling in termijnen,Use betaling in termijnen
TIG_PostNL::In termijnen betalen payment method,In termijnen betalen payment method
TIG_PostNL::Use giftcard,Use giftcard
TIG_PostNL::Giftcard payment method,Giftcard payment method
TIG_PostNL::Use RaboBank internetkassa,Use RaboBank internetkassa
TIG_PostNL::Rabobank internetkassa payment method,Rabobank internetkassa payment method
TIG_PostNL::Use AfterPay,Use AfterPay
TIG_PostNL::AfterPay payment method,AfterPay payment method
TIG_PostNL::Advanced Settings,Advanced Settings
TIG_PostNL::Debug mode,Debug mode
"TIG_PostNL::If enabled, debug logs will be created in the var/logs/TIG_PostNL/ directory. Full logging will log various debugging messages as well as errors. N.B.: these log files may become very large in a short amount of time.","If enabled, debug logs will be created in the var/logs/TIG_PostNL/ directory. Full logging will log various debugging messages as well as errors. N.B.: these log files may become very large in a short amount of time."
TIG_PostNL::Allow infinite label printing,Allow infinite label printing
TIG_PostNL::By default a maximum of 200 labels can be printed at once. Enable this to remove this limitation. Beware: enabling this may lead to server instability.,By default a maximum of 200 labels can be printed at once. Enable this to remove this limitation. Beware: enabling this may lead to server instability.
TIG_PostNL::Maximum number of parcels per shipment,Maximum number of parcels per shipment
TIG_PostNL::Maximum temporary file storage time,Maximum temporary file storage time
